Country_Code,Year,Crime_Count,Crime_Type
NOR,2015,24.0,Homicide
NOR,2016,27.0,Homicide
NOR,2017,28.0,Homicide
NOR,2018,25.0,Homicide
NOR,2019,28.0,Homicide
NOR,2020,31.0,Homicide
NOR,2021,29.0,Homicide
NOR,2022,30.0,Homicide
NOR,2023,40.0,Homicide
OMN,2002,28.0,Homicide
OMN,2003,35.0,Homicide
OMN,2004,42.0,Homicide
OMN,2005,53.0,Homicide
OMN,2006,121.0,Homicide
OMN,2007,37.0,Homicide
OMN,2008,47.0,Homicide
OMN,2009,37.0,Homicide
OMN,2010,48.0,Homicide
OMN,2011,34.0,Homicide
OMN,2012,39.0,Homicide
OMN,2013,97.0,Homicide
OMN,2014,12.0,Homicide
OMN,2015,16.0,Homicide
OMN,2016,16.0,Homicide
OMN,2017,17.0,Homicide
OMN,2018,13.0,Homicide
OMN,2019,23.0,Homicide
OMN,2020,14.0,Homicide
OMN,2021,11.0,Homicide
OMN,2022,12.0,Homicide
OMN,2023,7.0,Homicide
PAK,1990,8209.0,Homicide
PAK,1996,9062.0,Homicide
PAK,1997,9304.0,Homicide
PAK,1998,10246.0,Homicide
PAK,1999,9332.0,Homicide
PAK,2000,8906.0,Homicide
PAK,2001,9593.0,Homicide
PAK,2002,9466.0,Homicide
PAK,2003,9346.0,Homicide
PAK,2004,9614.0,Homicide
PAK,2005,9782.0,Homicide
PAK,2006,10048.0,Homicide
PAK,2007,10556.0,Homicide
PAK,2008,12059.0,Homicide
PAK,2009,12491.0,Homicide
PAK,2010,13190.0,Homicide
PAK,2011,13860.0,Homicide
PAK,2012,13846.0,Homicide
PAK,2013,13937.0,Homicide
PAK,2014,13276.0,Homicide
PAK,2015,9486.0,Homicide
PAK,2016,8516.0,Homicide
PAK,2017,8235.0,Homicide
PAK,2018,8241.0,Homicide
PAK,2019,8014.0,Homicide
PAK,2020,8350.0,Homicide
PAK,2021,9068.0,Homicide
PAK,2022,9937.0,Homicide
PAK,2023,10729.0,Homicide
PLW,2015,3.0,Homicide
PLW,2016,0.0,Homicide
PLW,2017,0.0,Homicide
PLW,2018,2.0,Homicide
PSE,1995,31.0,Homicide
PSE,1996,120.0,Homicide
PSE,1997,45.0,Homicide
